ProteinGroup,S03,S05,S07,S11,S08,S14
d7709_a1,0,0,0,1,0,0
d6131_a1,0,0,0,1,0,0
d6970_a1,1,0,0,0,0,0
d7999_a1,0,1,0,0,0,0
d7523_a1,0,0,0,1,0,0
d7498_a1,0,0,0,1,0,0
d6072_a1,0,0,0,1,0,0
d6128_a1,0,0,0,0,1,0
d4773_a1,1,0,0,0,0,0
d6696_a1,0,0,0,1,0,0
d7249_a1,0,0,0,1,0,0
d5827_a1,0,0,0,0,0,1
d5679_a1,0,0,0,0,1,0
d8325_a1,0,1,0,0,0,0
d6903_a1,0,1,0,0,0,0
d5953_a1,0,0,0,0,0,1
d8767_a1,0,1,0,0,0,0
d6220_a1,1,0,0,0,0,0
d6506_a1,0,0,0,1,0,0
d7022_a1,0,1,0,0,0,0
d5541_a1,0,1,0,0,0,0
d5894_a1,0,0,0,0,0,1
d8540_a1,1,0,0,0,0,0
d8518_a1,1,0,0,0,0,0
d6662_a1,1,0,0,0,0,0
d7182_a1,0,0,0,1,0,0
d4591_a1,1,0,0,0,0,0
d7809_a1,1,0,0,0,0,0
d6810_a1,0,1,0,0,0,0
d7338_a1,1,0,0,0,0,0
d7308_a1,0,0,0,1,0,0
d5983_a1,0,0,0,1,0,0
d7590_a1,1,0,0,0,0,0
d4558_a1,1,0,0,0,0,0
d6005_a1,0,1,0,0,0,0
d6165_a1,0,1,0,0,0,0
d4617_a1,1,0,0,0,0,0
d5018_a1,0,0,0,1,0,0
d7430_a1,0,0,0,0,0,1
d3971_a1,1,0,0,0,0,0
d8017_a1,0,0,0,1,0,0
d8485_a1,0,0,0,0,1,0
d6940_a1,0,0,1,0,0,0
d7241_a1,1,0,0,0,0,0
d5545_a1,0,1,0,0,0,0
d7468_a1,0,0,0,0,0,1
d8106_a1,0,0,0,1,0,0
d8607_a1,0,0,0,0,0,1
d6751_a1,1,0,0,0,0,0
d7805_a1,0,0,0,0,1,0
d3440_a1,1,0,0,0,0,0
d6477_a1,1,0,0,0,0,0
d4806_a1,0,0,0,1,0,0
d5675_a1,0,0,0,1,0,0
d8396_a1,0,0,0,1,0,0
d8674_a1,1,0,0,0,0,0
d6313_a1,0,0,0,0,1,0
d5987_a1,1,0,0,0,0,0
d4301_a1,0,0,0,0,1,0
d7464_a1,0,0,0,0,1,0
d7801_a1,0,1,0,0,0,0
d8329_a1,0,0,0,1,0,0
d4465_a1,0,0,0,0,1,0
d6974_a1,0,0,0,1,0,0
d7683_a1,1,0,0,0,0,0
d3979_a1,0,0,0,1,0,0
d6755_a1,0,1,0,0,0,0
d8548_a1,0,0,0,1,0,0
d5671_a1,0,1,0,0,0,0
d6536_a1,1,0,0,0,0,0
d5730_a1,0,1,0,0,0,0
d8173_a1,0,1,0,0,0,0
d8451_a1,0,0,0,0,0,1
d7961_a1,0,0,0,0,0,1
d6258_a1,0,1,0,0,0,0
d6814_a1,0,0,0,1,0,0
d8392_a1,0,0,1,0,0,0
d6039_a1,0,0,1,0,0,0
d7742_a1,0,0,0,1,0,0
d8670_a1,1,0,0,0,0,0
d4884_a1,0,1,1,0,0,0
b83_a3,0,0,0,0,0,2
b83_a5,0,0,0,2,0,0
b83_a2,0,0,0,2,0,0
d5751_a1,1,1,0,0,0,0
d5646_a1,0,2,0,0,0,0
d5705_a1,0,0,0,1,1,0
d7799_a1,0,1,0,1,0,0
d4838_a1,1,0,0,1,0,0
d3530_a1,1,1,0,0,0,0
d4453_a1,0,0,0,0,2,0
d4673_a1,2,0,0,0,0,0
d3856_a1,0,0,0,2,0,0
d7262_a1,1,1,0,0,0,0
d4723_a1,0,1,0,1,0,0
d5311_a1,0,1,1,0,0,0
d3310_a1,0,1,0,0,0,1
d4444_a1,0,1,0,0,0,1
a1_c138,0,0,0,1,0,1
a1_c126,0,1,0,1,0,0
a1_c137,0,0,0,2,0,0
a1_c135,0,1,0,1,0,0
d5540_a1,0,0,0,0,0,2
d7207_a1,1,1,0,0,0,0
d7820_a1,0,0,0,1,1,0
d5426_a1,0,2,0,0,0,0
c280_b14,0,1,0,1,0,0
c280_b17,0,1,0,1,0,0
c280_b18,1,0,0,1,0,0
d8359_a1,1,1,0,0,0,0
d2358_a2,0,0,0,2,0,0
d5692_a1,0,0,1,0,1,0
d5358_a1,0,0,0,2,0,0
d5100_a1,0,0,1,1,0,0
d4875_a1,0,1,0,0,0,1
d1655_a2,0,1,0,1,0,0
d5088_a1,0,0,0,1,0,1
b26_a2,0,1,0,1,0,0
d7597_a1,1,1,0,0,0,0
d5916_a1,1,1,0,0,0,0
d7271_a1,0,0,1,1,0,0
d3044_a3,0,0,0,1,0,1
d5417_a1,0,0,0,0,0,2
d3408_a2,1,1,0,0,0,0
c994_a4,0,2,0,0,0,0
d3521_a1,0,0,0,1,0,1
d5079_a1,0,1,0,1,0,0
d5618_a1,0,2,0,0,0,0
d4609_a1,0,0,0,2,0,0
d6597_a1,0,0,1,1,0,0
c547_b10,0,2,0,0,0,0
d5742_a1,1,0,0,1,0,0
c582_a5,0,1,0,1,0,0
d4050_a1,0,0,0,2,0,0
d3915_a1,0,2,0,0,0,0
d6935_a1,1,1,0,0,0,0
d4866_a1,1,0,1,0,0,0
d4893_a1,0,1,0,1,0,0
d4587_a1,0,1,0,1,0,0
d4704_a1,0,1,0,0,0,1
d3828_a1,0,1,0,0,1,0
d1068_a4,2,0,0,0,0,0
d4192_a1,0,2,0,0,0,0
d4847_a1,1,1,0,0,0,0
d1079_a2,0,2,0,0,0,0
d4087_a1,1,1,0,0,0,0
d4289_a1,0,2,0,0,0,0
d5385_a1,0,0,0,0,2,0
c609_a2,2,0,0,0,0,0
d5119_a1,0,1,0,0,0,1
d4788_a1,0,2,0,0,0,0
d3933_a1,0,0,0,1,0,1
d4970_a1,0,2,0,0,0,0
d5723_a1,0,0,0,2,0,0
d4692_a1,1,1,0,0,0,0
d2610_a3,0,1,0,0,0,1
d3155_a1,0,0,0,2,0,0
d7569_a1,0,2,0,0,0,0
c955_a5,0,1,0,0,0,1
d5619_a1,0,0,0,0,2,0
d5022_a1,0,1,0,1,0,0
d4531_a1,1,1,0,0,0,0
d4578_a1,0,1,0,1,0,0
d7138_a1,1,1,0,0,0,0
b11_b12,0,0,0,0,2,0
d3892_a1,1,1,0,0,0,0
d4916_a1,1,1,0,0,0,0
d5069_a1,1,0,0,1,0,0
d7395_a1,0,0,1,1,0,0
d5348_a1,0,2,0,0,0,0
d5568_a1,1,1,0,0,0,0
d5741_a1,0,0,1,1,0,0
d6895_a1,1,1,0,0,0,0
d4769_a1,0,2,0,0,0,0
c760_a2,0,0,0,0,2,0
d5031_a1,1,1,0,0,0,0
d4502_a1,0,0,0,1,1,0
d7226_a1,0,1,0,1,0,0
c860_a6,1,0,0,1,0,0
d8753_a1,1,1,0,0,0,0
d8245_a1,0,0,0,0,2,0
d3119_a1,0,0,0,1,1,0
d1445_a2,0,0,0,2,0,0
d5310_a1,2,0,0,0,0,0
d4989_a1,0,0,0,2,0,0
d4828_a1,0,0,0,1,0,1
d3999_a1,1,1,0,0,0,0
d4722_a1,0,1,0,0,1,0
d4443_a1,0,2,0,0,0,0
d1941_a3,0,2,0,0,0,0
d4004_a1,1,1,0,0,0,0
d3520_a1,0,1,0,0,1,0
d4003_a1,1,0,0,0,1,0
d4577_a1,0,0,0,2,0,0
d5693_a1,0,0,0,0,0,2
d4856_a1,1,1,0,0,0,0
d4915_a1,0,1,0,0,1,0
d5569_a1,0,2,0,0,0,0
d2705_a2,0,2,0,0,0,0
d4760_a1,1,1,0,0,0,0
d5128_a1,0,1,1,0,0,0
d2462_a2,0,0,0,1,0,1
d7261_a1,0,0,0,1,1,0
d7916_a1,0,1,0,0,1,0
d3426_a2,0,1,0,1,0,0
d4079_a1,0,1,0,0,0,1
d4416_a1,0,2,0,0,0,0
d4040_a1,0,2,0,0,0,0
d4078_a1,0,0,0,2,0,0
d3865_a1,0,0,0,0,2,0
d4415_a1,1,1,0,0,0,0
d6426_a1,1,0,0,0,0,1
c708_a3,0,0,0,0,0,2
d6866_a1,1,1,0,0,0,0
d8282_a1,1,1,0,0,0,0
d8463_a1,0,0,0,0,1,1
d5464_a1,0,2,0,0,0,0
d4635_a1,0,1,0,0,1,0
d5290_a1,0,2,0,0,0,0
d4740_a1,0,1,0,0,1,0
d8484_a1,1,1,0,0,0,0
d3916_a1,0,1,0,0,1,0
d4820_a1,0,1,0,0,0,1
d4681_a1,0,1,0,1,0,0
c866_a3,1,0,0,1,0,0
d4761_a1,1,0,0,1,0,0
d3857_a1,0,2,0,0,0,0
d6357_a1,0,0,0,2,0,0
d6289_a1,1,1,0,0,0,0
d4386_a1,0,1,0,0,1,0
d5260_a1,0,0,0,0,2,0
d5427_a1,0,0,0,2,0,0
d5434_a1,0,0,0,0,0,2
d8426_a1,0,1,0,1,0,0
d4867_a1,0,0,0,0,2,0
d4944_a1,0,0,0,1,0,1
d5691_a1,0,0,0,0,0,2
d5368_a1,0,0,0,0,2,0
d4005_a1,0,1,0,0,0,1
d4445_a1,0,2,0,0,0,0
d4377_a1,1,1,0,0,0,0
d1010_a2,0,0,1,1,0,0
d5752_a1,2,0,0,0,0,0
d4759_a1,0,0,0,2,0,0
d1085_a2,1,0,0,0,1,0
d4585_a1,1,1,0,0,0,0
d4427_a1,0,0,0,2,0,0
d3331_a2,0,1,0,0,1,0
d4532_a1,0,0,0,0,0,2
d4674_a1,0,0,0,2,0,0
d4926_a1,0,1,0,0,1,0
d4644_a1,1,0,0,1,0,0
d5492_a1,0,0,0,2,0,0
d8493_a1,0,1,0,1,0,0
d3809_a1,0,2,0,0,0,0
d5610_a1,0,0,0,0,0,2
d4703_a1,0,0,0,2,0,0
d5225_a1,0,0,0,2,0,0
d3876_a1,0,0,0,0,2,0
d1681_a2,1,1,0,0,0,0
d3482_a1,0,0,0,2,0,0
d7456_a1,0,0,0,1,1,0
d4408_a1,0,0,0,2,0,0
d5722_a1,0,0,0,2,0,0
d6214_a1,0,0,0,1,0,1
d4311_a1,0,2,0,0,0,0
d5387_a1,0,2,0,0,0,0
d6483_a1,0,1,0,0,1,0
d5724_a1,0,2,0,0,0,0
d4907_a1,0,0,0,2,0,0
d5542_a1,1,1,0,0,0,0
d6130_a1,1,0,0,1,0,0
d5394_a1,0,2,0,0,0,0
d3463_a2,1,1,0,0,0,0
d4375_a1,0,0,1,0,1,0
d4683_a1,0,2,0,0,0,0
d3165_a1,0,0,0,1,0,1
d3165_a5,0,0,0,2,0,0
d3165_a4,0,0,0,2,0,0
d5601_a1,0,2,0,0,0,0
d4924_a1,0,0,0,0,0,2
d5648_a1,0,0,0,0,0,2
d5111_a1,0,1,0,0,0,1
d1287_a2,0,2,0,0,0,0
d4865_a1,0,0,1,1,0,0
d5330_a1,0,0,0,2,0,0
d5102_a1,0,2,0,0,0,0
d3914_a1,0,0,1,1,0,0
d5077_a1,1,0,0,1,0,0
b66_a4,0,0,0,1,0,1
d5761_a1,0,0,0,0,2,0
d4058_a1,1,1,0,0,0,0
d5483_a1,0,0,0,0,0,2
d7713_a1,1,0,0,1,0,0
d5204_a1,0,0,0,0,2,0
d5043_a1,1,1,0,0,0,0
d5644_a1,0,0,0,0,0,2
d5086_a1,0,0,0,1,0,1
d4714_a1,0,0,1,0,0,1
d5856_a1,0,0,0,0,1,1
d4551_a1,0,0,0,2,0,0
d4991_a1,0,0,0,2,0,0
d7112_a1,0,0,0,1,1,0
d3944_a1,0,0,1,1,0,0
c176_a5,0,0,0,0,0,2
d6943_a1,1,0,0,1,0,0
d5514_a1,2,0,0,0,0,0
d4302_a1,0,0,0,0,0,2
d4961_a1,0,2,0,0,0,0
d5321_a1,1,1,0,0,0,0
d5674_a1,0,0,0,1,1,0
d4462_a1,1,1,0,0,0,0
d4462_a2,0,2,0,0,0,0
d5015_a1,0,0,0,1,0,1
d6886_a1,1,0,0,1,0,0
d5548_a1,1,1,0,0,0,0
c235_a2,0,0,0,2,0,0
d6819_a1,1,1,0,0,0,0
d4529_a1,0,1,0,0,1,0
d4997_a1,0,0,0,1,1,0
d6034_a1,1,0,0,0,0,1
d6750_a1,2,0,0,0,0,0
d4801_a1,0,0,0,1,0,1
d5733_a1,0,0,0,0,0,2
d5049_a1,0,1,0,1,0,0
d4839_a1,0,0,0,1,0,1
d4742_a1,0,1,0,0,1,0
d3759_a1,1,0,0,0,1,0
d7187_a1,1,1,0,0,0,0
d5620_a1,0,0,0,2,0,0
d4648_a1,0,2,0,0,0,0
d5346_a1,1,1,0,0,0,0
d4922_a1,0,0,0,1,0,1
d3176_a1,0,0,0,1,0,1
d3881_a1,0,2,0,0,0,0
d4927_a1,0,1,0,0,1,0
d3991_a1,0,0,1,0,0,1
d4474_a1,0,0,0,0,0,2
d4707_a1,0,0,0,2,0,0
d5287_a1,0,0,0,2,0,0
d3940_a1,0,0,0,1,0,1
d7841_a1,0,0,0,2,0,0
d4533_a1,0,0,0,0,0,2
d4863_a1,0,0,0,2,0,0
d5566_a1,2,0,0,0,0,0
d4812_a1,0,2,0,0,0,0
d6965_a1,1,1,0,0,0,0
d4790_a1,1,0,0,1,0,0
c978_a2,0,0,0,1,0,1
d7778_a1,1,0,0,0,0,1
d8687_a1,0,1,0,0,1,0
d5309_a1,0,0,0,2,0,0
d3140_a2,0,0,0,0,0,2
d4318_a1,0,0,0,2,0,0
d3523_a1,0,2,0,0,0,0
d5524_a1,0,0,0,2,0,0
d4868_a1,1,1,0,0,0,0
d5803_a1,1,1,0,0,0,0
d7773_a1,0,0,0,2,0,0
d5529_a1,0,0,0,0,0,2
d4610_a1,0,0,0,1,1,0
d4437_a1,0,0,0,0,0,2
d4767_a1,0,1,0,0,1,0
d5112_a1,0,0,1,1,0,0
d4441_a1,0,1,0,1,0,0
d4786_a1,0,0,0,2,0,0
d5465_a1,0,0,0,0,2,0
d3464_a1,0,2,0,0,0,0
d5501_a1,0,0,0,0,0,2
d5680_a1,0,1,0,0,1,0
d5854_a1,1,1,0,0,0,0
d5795_a1,1,1,0,0,0,0
d3528_a1,0,0,0,1,0,1
d3858_a1,0,1,0,1,0,0
d5428_a1,0,0,0,0,2,0
d6011_a1,0,0,0,0,1,1
d5707_a1,2,0,0,0,0,0
d6804_a1,1,1,0,0,0,0
d5076_a1,0,0,0,1,0,1
d4404_a1,0,0,0,1,1,0
c209_a2,0,1,0,1,0,0
d5130_a1,1,0,0,0,0,1
d5442_a1,0,0,0,2,0,0
d5662_a1,2,0,0,0,0,0
d5721_a1,0,2,0,0,0,0
d4080_a1,0,1,0,1,0,0
d7288_a1,1,0,0,0,0,1
d5997_a1,1,1,0,0,0,0
d4085_a1,1,0,0,1,0,0
d5117_a1,0,2,0,0,0,0
c561_a2,0,0,0,1,0,1
d5058_a1,0,0,0,1,1,0
d8664_a1,1,1,0,0,0,0
c546_a3,0,1,1,0,0,0
d6264_a1,1,0,0,0,1,0
d5250_a1,0,0,0,2,0,0
d5001_a1,0,0,0,2,0,0
d5094_a1,1,0,0,1,0,0
d5699_a1,0,0,0,0,2,0
d3546_a1,0,2,0,0,0,0
d4510_a1,0,0,0,0,2,0
d4667_a1,1,0,0,1,0,0
c566_a4,0,1,0,1,0,0
d2881_a1,0,0,0,1,0,1
d5099_a1,0,0,0,2,0,0
d3501_a2,0,2,0,0,0,0
d4451_a1,1,1,0,0,0,0
d5817_a1,1,1,0,0,0,0
d1945_a2,0,1,0,1,0,0
c413_a2,0,1,0,0,1,0
d7755_a1,1,1,0,0,0,0
d3891_a1,1,0,0,1,0,0
d4945_a1,0,1,0,1,0,0
d4886_a1,0,0,0,1,1,0
d5246_a1,0,0,0,0,2,0
d4979_a1,0,0,0,2,0,0
d4890_a1,0,2,0,0,0,0
d5090_a1,1,0,0,1,0,0
d4987_a1,0,0,1,1,0,0
d3896_a1,0,2,0,0,0,0
d4489_a1,0,0,1,0,1,0
d6021_a1,0,0,0,1,1,0
d5034_a1,0,1,0,0,0,1
d4044_a1,0,1,0,1,0,0
d5288_a1,0,0,0,2,0,0
d7889_a1,0,1,0,0,1,0
d3992_a1,1,0,0,0,0,1
d3049_a2,0,0,1,0,0,1
d3049_a3,0,2,0,0,0,0
d5068_a1,1,1,0,0,0,0
d1150_a4,1,0,0,1,0,0
d4638_a1,1,0,0,0,1,0
d8438_a1,0,0,1,1,0,0
d4574_a1,0,0,0,2,0,0
c509_a3,0,1,0,1,0,0
d4579_a1,1,0,0,1,0,0
d7796_a1,0,1,0,0,1,0
d4794_a1,0,2,0,0,0,0
d2336_a2,1,1,0,0,0,0
d4355_a1,0,1,1,0,0,0
d4853_a1,1,1,0,0,0,0
d4051_a1,0,0,0,1,0,1
d4804_a1,0,2,0,0,0,0
d5502_a1,0,0,0,2,0,0
d8742_a1,0,0,0,0,2,0
d4314_a1,0,2,0,0,0,0
d5684_a1,2,0,0,0,0,0
d4619_a1,1,0,0,1,0,0
d6716_a1,1,1,0,0,0,0
d5532_a1,1,0,0,0,1,0
d3531_a1,0,1,0,0,1,0
d6022_a1,0,0,0,2,0,0
d4600_a1,0,0,1,0,1,0
d4326_a1,1,1,0,0,0,0
d3843_a2,1,0,0,1,0,0
d5317_a1,1,1,0,0,0,0
d3962_a1,0,2,0,0,0,0
d4708_a1,0,0,0,1,1,0
d7380_a1,0,1,0,1,0,0
d5258_a1,0,0,0,2,0,0
d3902_a1,1,1,0,0,0,0
d3902_a2,0,1,0,0,0,1
d3902_a3,1,1,0,0,0,0
d4170_a1,0,0,0,0,2,0
d5528_a1,0,0,0,2,0,0
d5588_a1,0,2,0,0,0,0
d4537_a1,1,0,0,1,0,0
d6434_a1,1,0,0,0,0,1
d6969_a1,1,0,0,0,1,0
d4422_a1,0,0,0,2,0,0
d4649_a1,0,2,0,0,0,0
c208_a2,1,1,0,0,0,0
d5647_a1,0,0,0,0,0,2
d6608_a1,0,1,0,1,0,0
d5929_a1,0,1,0,1,0,0
d5520_a1,2,0,0,0,0,0
d4900_a1,0,0,1,1,0,0
d4081_a1,0,1,0,1,0,0
d4894_a1,1,1,0,0,0,0
d5331_a1,0,0,0,2,0,0
d5558_a1,0,2,0,0,0,0
d4626_a1,1,1,0,0,0,0
d5773_a1,0,0,0,0,2,0
d5461_a1,0,0,0,0,0,2
d2402_a2,0,1,1,0,0,0
d5725_a1,0,0,0,2,0,0
d3980_a1,0,1,0,1,0,0
d5617_a1,0,0,0,0,0,2
d5005_a1,1,0,0,1,0,0
d5335_a1,0,2,0,0,0,0
d8498_a1,0,1,0,1,0,0
d4679_a1,0,2,0,0,0,0
d4738_a1,0,0,1,1,0,0
d5673_a1,0,2,0,0,0,0
d7425_a1,0,0,0,1,0,1
d5729_a1,0,0,0,0,0,2
d8728_a1,0,0,0,1,1,0
d5855_a1,1,0,0,0,1,0
d4700_a1,0,2,0,0,0,0
d5606_a1,0,2,0,0,0,0
d5762_a1,0,0,0,0,0,2
d6063_a1,1,1,0,0,0,0
d3913_a1,1,0,0,1,0,0
d4096_a1,0,1,0,1,0,0
d3884_a1,1,1,0,0,0,0
d5458_a1,0,0,0,0,0,2
d7878_a1,1,0,0,0,0,1
d8516_a1,0,0,1,1,0,0
d5205_a1,0,0,0,2,0,0
d5636_a1,1,0,0,0,1,0
d4879_a1,0,1,0,1,0,0
d5577_a1,0,0,0,0,2,0
d6400_a1,0,0,0,1,1,0
d4938_a1,0,2,0,0,0,0
d4497_a1,0,1,0,1,0,0
d3888_a1,1,0,0,1,0,0
d4611_a1,0,0,0,1,1,0
d5365_a1,0,0,0,2,0,0
d4281_a1,0,0,0,2,0,0
d4062_a1,0,1,0,1,0,0
d1708_a2,0,0,0,2,0,0
d8701_a1,1,1,0,0,0,0
d5859_a1,0,1,1,0,0,0
d3850_a1,0,0,0,1,1,0
d4771_a1,0,2,0,0,0,0
d5584_a1,2,0,0,0,0,0
c921_a2,0,1,0,0,1,0
d6787_a1,0,2,0,0,0,0
d5042_a1,0,1,0,1,0,0
d4741_a1,1,1,0,0,0,0
d4092_a1,1,0,0,1,0,0
d4374_a1,0,1,0,0,1,0
d5543_a1,0,0,0,0,2,0
d5602_a1,0,2,0,0,0,0
d5324_a1,0,2,0,0,0,0
d4593_a1,0,1,0,0,1,0
d8676_a1,1,1,0,0,0,0
d3383_a1,0,1,0,0,1,0
d3136_a3,0,1,1,0,0,0
d5766_a1,0,0,0,0,2,0
d5016_a1,0,1,0,1,0,0
d4960_a1,0,0,0,1,0,1
d5328_a1,0,0,0,0,2,0
d4025_a1,0,2,0,0,0,0
d4526_a1,0,2,0,0,0,0
d4307_a1,0,0,0,2,0,0
d5732_a1,0,0,2,0,0,0
d4745_a1,0,1,0,1,0,0
d5989_a1,1,1,0,0,0,0
d5210_a1,0,0,0,0,2,0
d4994_a1,0,0,0,1,1,0
d8066_a1,1,1,0,0,0,0
d3535_a1,1,1,0,0,0,0
d5083_a1,2,0,0,0,0,0
d4563_a1,0,0,0,2,0,0
d7642_a1,0,0,0,1,1,0
d5046_a1,0,0,0,2,0,0
d4901_a1,0,0,0,0,0,2
d5266_a1,0,2,0,0,0,0
d4842_a1,0,1,0,1,0,0
d4380_a1,1,1,0,0,0,0
d5421_a1,0,0,0,1,1,0
d4985_a1,0,0,0,2,0,0
d4554_a1,0,1,0,1,0,0
d7115_a1,0,1,0,0,1,0
d4833_a1,0,0,0,2,0,0
d5316_a1,0,0,0,2,0,0
d4055_a1,0,1,1,0,0,0
d5641_a1,0,2,0,0,0,0
d6124_a1,1,1,0,0,0,0
d5700_a1,0,0,0,2,0,0
d5747_a1,1,0,1,0,0,0
d6729_a1,0,1,0,1,0,0
d5967_a1,0,0,0,0,2,0
d5092_a1,0,0,0,2,0,0
d5248_a1,0,0,0,2,0,0
d6294_a1,0,0,0,0,1,1
d5055_a1,0,2,0,0,0,0
d5449_a1,1,1,0,0,0,0
d4719_a1,0,1,0,1,0,0
d4939_a1,0,2,0,0,0,0
d7670_a1,0,0,0,1,1,0
d3459_a2,1,1,0,0,0,0
d5380_a1,1,1,0,0,0,0
d8317_a1,0,0,0,1,0,1
d4535_a1,0,1,0,1,0,0
d5632_a1,0,0,0,0,2,0
d4783_a1,1,1,0,0,0,0
d3938_a1,1,0,0,1,0,0
d4861_a1,0,0,0,0,2,0
d4640_a1,1,0,0,0,1,0
d4957_a1,0,0,0,2,0,0
d3823_a1,0,2,0,0,0,0
d8441_a1,0,1,0,0,0,1
d5669_a1,0,0,0,0,0,2
d5495_a1,0,1,0,0,0,1
d4018_a1,0,1,0,0,0,1
d4362_a1,0,0,1,1,0,0
d4898_a1,0,1,0,1,0,0
d5554_a1,0,0,0,2,0,0
d4420_a1,0,2,0,0,0,0
d5381_a1,0,0,0,2,0,0
d5306_a1,0,2,0,0,0,0
d7940_a1,1,1,0,0,0,0
c697_a2,0,1,0,0,0,1
d6748_a1,1,1,0,0,0,0
d4324_a1,0,2,0,0,0,0
d7010_a1,1,1,0,0,0,0
d6084_a1,0,1,0,0,1,0
c931_a2,0,0,0,0,1,1
d8259_a1,0,1,0,1,0,0
d6143_a1,1,1,0,0,0,0
d4755_a1,1,1,0,0,0,0
d5660_a1,0,2,0,0,0,0
d4814_a1,2,0,0,0,0,0
d5467_a1,0,0,0,2,0,0
d4756_a1,1,1,0,0,0,0
d6890_a1,1,1,0,0,0,0
d4764_a1,1,0,0,0,1,0
d7826_a1,0,1,0,1,0,0
d4984_a1,0,1,0,0,0,1
d4485_a1,1,0,1,0,0,0
d5093_a1,0,1,1,0,0,0
d5526_a1,2,0,0,0,0,0
c527_a2,0,1,0,1,0,0
d5028_a1,0,0,0,1,0,1
d5315_a1,1,1,0,0,0,0
d2475_a2,0,0,0,1,1,0
d5036_a1,0,1,1,0,0,0
d4824_a1,0,1,0,1,0,0
d4851_a1,0,0,0,1,0,1
d4009_a1,0,2,0,0,0,0
d4293_a1,0,2,0,0,0,0
d3708_a1,0,0,0,2,0,0
d4486_a1,0,0,2,0,0,0
d4572_a1,0,0,0,0,1,1
d6554_a1,1,0,0,1,0,0
d6083_a1,1,1,0,0,0,0
d3553_a1,1,0,0,1,0,0
d6700_a1,1,1,0,0,0,0
d6833_a1,0,1,0,0,1,0
d3994_a1,0,0,0,1,1,0
d4632_a1,0,0,0,1,0,1
d5439_a1,0,0,0,0,2,0
d5219_a1,0,0,0,1,0,1
d5623_a1,0,0,0,1,1,0
d4411_a1,0,0,0,1,1,0
d4573_a1,1,1,0,0,0,0
d4412_a1,0,1,0,1,0,0
d4910_a1,0,0,0,2,0,0
d5123_a1,0,1,0,1,0,0
d7295_a1,1,1,0,0,0,0
d4852_a1,1,0,0,0,1,0
d4911_a1,0,1,0,1,0,0
d5633_a1,0,0,1,1,0,0
d4056_a1,1,0,0,1,0,0
d7486_a1,1,0,0,0,1,0
d4220_a1,2,0,0,0,0,0
d5612_a1,0,0,0,0,2,0
d4630_a1,1,1,0,0,0,0
d8222_a1,0,1,0,0,1,0
d4919_a1,0,2,0,0,0,0
d5574_a1,0,0,0,2,0,0
d5485_a1,1,0,0,1,0,0
d5075_a1,0,0,0,0,2,0
d4072_a1,0,0,0,1,0,1
d5544_a1,1,1,0,0,0,0
d7749_a1,0,0,0,1,1,0
d5984_a1,1,0,0,0,1,0
d6737_a1,0,0,0,0,2,0
d4710_a1,0,1,0,0,1,0
d4562_a1,0,1,0,0,1,0
d4047_a1,0,0,1,1,0,0
d5537_a1,0,0,0,0,0,2
d5038_a1,1,1,0,0,0,0
d5084_a1,0,1,0,0,0,1
d4429_a1,0,1,0,1,0,0
d7107_a1,0,1,0,0,1,0
d4986_a1,0,1,0,1,0,0
d5476_a1,0,0,0,0,0,2
d8582_a1,0,1,0,1,0,0
d8142_a1,0,1,0,0,0,1
d5249_a1,0,0,0,2,0,0
d6132_a1,0,1,0,0,1,0
d7985_a1,0,1,0,1,0,0
d4701_a1,0,1,0,1,0,0
d5026_a1,0,2,0,0,0,0
d7346_a1,0,1,0,1,0,0
d5000_a1,0,0,0,2,0,0
d3371_a1,0,0,1,0,1,0
d4317_a1,0,2,0,0,0,0
d4757_a1,1,1,0,0,0,0
d4974_a1,1,0,0,0,0,1
d7730_a1,1,1,0,0,0,0
d3882_a1,0,0,0,2,0,0
d4534_a1,0,0,1,1,0,0
d3870_a1,0,1,0,0,0,1
d5494_a1,0,0,0,0,0,2
d4457_a1,0,1,0,0,1,0
d5292_a1,0,2,0,0,0,0
d3983_a1,0,0,0,2,0,0
d4516_a1,0,1,0,1,0,0
d4956_a1,0,1,0,1,0,0
d4583_a1,2,0,0,0,0,0
d5008_a1,1,0,0,0,1,0
d4421_a1,1,0,0,0,1,0
d4739_a1,0,0,0,1,0,1
d4718_a1,0,1,0,1,0,0
d7843_a1,1,0,0,0,1,0
d5678_a1,0,0,0,2,0,0
d5737_a1,0,0,0,0,0,2
d4286_a1,1,1,0,0,0,0
d4776_a1,1,0,0,1,0,0
d4054_a1,1,0,0,1,0,0
d3901_a1,0,0,2,0,0,0
d4612_a1,0,1,0,0,0,1
d7593_a1,1,0,0,0,1,0
d4709_a1,2,0,0,0,0,0
d7116_a1,0,0,1,1,0,0
d5323_a1,0,0,0,0,2,0
d5423_a1,0,0,0,0,0,2
d5082_a1,1,1,0,0,0,0
d5583_a1,0,0,0,2,0,0
d4805_a1,0,2,0,0,0,0
d5264_a1,0,0,0,0,2,0
d4995_a1,1,1,0,0,0,0
d7278_a1,0,1,0,1,0,0
d5581_a1,2,0,0,0,0,0
d5765_a1,2,0,0,0,0,0
d5106_a1,0,0,0,2,0,0
d5104_a1,0,0,0,2,0,0
d3909_a1,0,1,0,1,0,0
d5459_a1,0,2,0,0,0,0
d4870_a1,1,1,0,0,0,0
d5047_a1,1,0,0,0,1,0
d6699_a1,1,1,0,0,0,0
d4748_a1,1,0,0,1,0,0
