ProteinGroup,S03,S05,S07,S11,S08,S14
c828_a2,1,0,0,0,0,0
d7628_a1,1,0,0,0,0,0
d4627_a1,0,1,0,0,0,0
d8666_a1,0,1,0,0,0,0
d7907_a1,0,0,0,0,1,0
d5943_a1,0,0,0,0,1,0
d8006_a1,0,1,0,0,0,0
d5885_a1,1,0,0,0,0,0
d7129_a1,0,1,0,0,0,0
d6761_a1,0,0,0,1,0,0
d4691_a1,0,0,0,1,0,0
d4691_a2,0,0,1,0,0,0
d6981_a1,0,1,0,0,0,0
d8387_a1,0,0,0,1,0,0
d6600_a1,1,0,0,0,0,0
d6820_a1,0,1,0,0,0,0
d8167_a1,0,1,0,0,0,0
d7015_a1,0,1,0,0,0,0
d6609_a1,1,0,0,0,0,0
d8715_a1,0,1,0,0,0,0
d7848_a1,0,0,0,1,0,0
d4608_a1,0,0,0,1,0,0
d5847_a1,0,0,0,1,0,0
d8533_a1,1,0,0,0,0,0
d6963_a1,0,1,0,0,0,0
d7674_a1,0,0,0,0,1,0
d7953_a1,1,0,0,0,0,0
d4810_a2,0,1,0,0,0,0
d4857_a1,0,0,0,0,1,0
d5999_a1,0,0,0,1,0,0
d8685_a1,0,0,0,1,0,0
d1524_a3,1,0,0,0,0,0
d5876_a1,0,0,0,1,0,0
d5129_a1,0,0,0,1,0,0
d7894_a1,1,0,0,0,0,0
d5788_a1,1,0,0,0,0,0
d7733_a1,0,0,0,0,0,1
d6829_a1,0,0,0,0,1,0
d5839_a1,1,0,0,0,0,0
d2506_a3,0,1,0,0,0,0
d2506_a4,0,0,0,1,0,0
d7454_a1,0,0,0,1,0,0
d8377_a1,0,1,0,0,0,0
d7446_a1,0,0,1,0,0,0
d7666_a1,0,0,0,0,0,1
d7505_a1,0,1,0,0,0,0
d8098_a1,0,0,0,0,0,1
d7886_a1,1,0,0,0,0,0
d7725_a1,0,0,0,0,0,1
d7945_a1,0,1,0,0,0,0
d7175_a1,0,0,0,0,0,1
d6802_a1,0,1,0,0,0,0
d8473_a1,0,0,1,0,0,0
d1149_a3,0,0,0,1,0,0
d1149_a4,0,0,0,1,0,0
b89_a2,0,1,0,0,0,0
d6464_a1,0,0,0,1,0,0
d6185_a1,0,0,0,0,1,0
d8524_a1,0,0,0,1,0,0
d7762_a1,0,0,0,1,0,0
d7386_a1,0,1,0,0,0,0
d6013_a1,1,0,0,0,0,0
d8253_a1,0,1,0,0,0,0
d8532_a1,0,0,0,0,1,0
d6954_a1,0,1,0,0,0,0
d6396_a1,0,0,0,1,0,0
d8744_a1,0,0,0,0,1,0
d8313_a1,0,1,0,0,0,0
d6119_a1,0,1,0,0,0,0
d4384_a1,0,1,0,0,0,0
d6559_a1,0,0,0,1,0,0
