ProteinGroup,F06,F01,F07,F08
08560bfd-f00b-43a1-b01d-db0ba7e47510,0,2,0,0
4278fe21-c8a3-40c5-a16c-07a68b64169d,0,0,2,0
5fd0ab31-27ea-40b8-a42f-059efcd2a435,0,0,2,0
b41ac559-fab4-45a3-a4cf-4fe7fcc4b53b,0,0,2,0
d30d95d3-ed05-480e-879e-04b40d2dcc9d,2,0,0,0
05820143-c3ce-4ddc-b3d1-7bfbc6cad885,0,0,2,0
5fbd1bfb-ce01-4a26-aef1-eadb72a4f065,0,0,2,0
69869103-6c13-4649-9c75-3bb9a9751c33,2,0,0,0
46d4793b-96c0-45cf-9bb9-9fa115f8ab6a,0,2,0,0
b0b2885e-2e32-4488-82f7-27e9e6ed0bfb,0,2,0,0
df37bd81-09fc-483f-8592-700af3e7c04b,2,0,0,0
1310fdfd-95fd-4016-9c5d-d1d966218f60,0,2,0,0
718812e0-e4a6-4f80-bfc7-6746468ece93,0,2,0,0
936363e8-f233-4e4c-99a6-73f8e4daf43f,2,0,0,0
4bd061e6-49e2-4c37-a744-eb6722f5f3ba,2,0,0,0
06c96559-9a73-4052-b304-aeae079860cd,0,2,0,0
76bdb27a-73b9-41ac-bd24-8e522f388acb,2,0,0,0
3c9f111c-bf0d-47e4-9f01-a9af566d298f,0,2,0,0
4e595b68-baee-42f5-a7be-6616c854016c,0,2,0,0
873ec0a1-a791-4548-ba56-15974aa605e3,0,0,2,0
5e9fc9b1-93ff-4ca9-b34c-381e9aa989d7,2,0,0,0
83c11a24-7081-4cba-b926-f3fd39974e1f,0,2,0,0
c6660660-f99e-40df-970a-f1f74105a318,0,2,0,0
fba5d3e1-6c8d-4095-a700-93e7696d5c24,0,2,0,0
c9c9f189-b423-4cd8-a487-0a9e52a87259,0,2,0,0
9afa7425-12c1-47e6-8c2e-2443bce38c1c,2,0,0,0
d9073ebe-2c4a-4260-abc5-2088cb8896f2,0,2,0,0
a69b05bb-d978-4a18-883e-f2a6dd3e8523,0,2,0,0
eb40af63-e222-431d-8e30-a4b4b3c4ece7,0,2,0,0
2a696c35-98d0-4e92-b6f5-0c3e4ecce6df,2,0,0,0
3f694978-6f76-48e7-96d5-b652438447dc,0,2,0,0
e3c9c20a-8d64-4723-b441-caa09d07afd8,0,0,2,0
c7564522-638b-4f49-ba95-50aa287581cf,0,0,2,0
2321f73e-049f-44c5-9a5e-a8e9286e06ab,0,0,0,2
c7757ff7-af3b-4521-b205-e149163c897f,0,2,0,0
9d76e6d1-a1ba-42f0-8c73-775ad6cb9a65,0,2,0,0
a2ed968b-cdf7-4150-93c9-ca5677cb7e03,0,2,0,0
4c3a7e8f-1be1-4b14-b9af-0f2abfe1d79f,0,0,2,0
6909c0a8-f70a-47fa-9d40-21adc10a5c2e,0,0,2,0
87731ae7-65d8-428e-aec5-33f3a7ffa8a4,0,0,2,0
39c6b5b0-1e5b-4605-b831-d6bd0e94b434,0,2,0,0
74d1cef6-0d1e-4a98-9505-a178ba9c039c,2,0,0,0
517b201a-bca4-46f8-94e2-389ae6eabc2c,2,0,0,0
026d15dd-9c0d-4bab-ac28-7257991f78eb,0,2,0,0
c22398a2-e65e-43f3-8a27-230884a0308d,2,0,0,0
5ab362ab-2f9a-4aa5-9321-21d89840a0ec,0,2,0,0
ad7d5f51-ecd3-4339-b879-f00e1bf79c41,0,2,0,0
37b612be-07ff-432b-9f1c-9a12b5ed75d3,0,2,0,0
38d7b48b-4430-4276-b2ac-32af4a07d6e3,0,2,0,0
5c1071cc-b24b-4dce-b9b2-9f22c75d8151,0,2,0,0
37531539-ba19-42d7-955a-8c5ed4c4525d,0,2,0,0
d8105943-855c-4a6c-8b6f-0ac567171c89,0,2,0,0
0a763d74-fe79-4d8e-93ca-a35c01f7138b,0,0,0,2
cdbad890-76a6-4314-87a5-39056f0a4d99,0,2,0,0
0d494fb9-29aa-4db3-9152-e4c8a4591dad,0,2,0,0
adb98970-2cdf-4bfa-ae1c-87ec76e7034c,2,0,0,0
b280b116-4c4f-4236-a1b2-f943465bef71,0,0,0,2
d300dd00-fc8d-43d5-b46d-d0e4c0d5c092,0,2,0,0
1a91f6a4-6e56-4e9d-a167-826d3b8be27f,0,2,0,0
a5e545c4-4e84-48a4-b09d-f37cc37eac8f,0,2,0,0
6a82ef0b-d25e-4f10-975c-365d85e61d3f,0,0,2,0
0ba250d4-43c2-489d-8031-e5a877c13665,0,0,2,0
534e51db-8548-4ad1-b876-c425a22571c4,0,0,0,2
8863d4f3-ed1a-4c2f-8b0c-90b70228d559,0,2,0,0
57cfa6d6-2560-4086-97c9-aa9fc3bc288f,0,0,2,0
11eb4dd3-748b-4f05-aa76-eec8830538ed,0,0,2,0
0f64e6cd-f217-42e3-9ef8-07d6c27abb3e,0,2,0,0
3b46e558-54c4-4294-b8ca-f70c13da910e,0,2,0,0
9f1b8124-31a7-49a2-9aaa-d819a65ef381,0,2,0,0
e52b1deb-1903-4fa0-8516-ea5e10dd906e,0,2,0,0
9699ca2f-a2bc-4e16-a424-38dbebdf9fe9,0,2,0,0
cf004c02-57f9-4ff9-bcd3-703819913b0c,0,0,2,0
7b0fe836-5db0-488a-8319-236088c8fa7e,0,0,2,0
d69ea04f-883e-454c-9ee7-62189b26fbdf,0,2,0,0
bd42c845-2e1b-4ee4-99c0-771c59e84868,0,0,0,2
d2b2c26e-f214-4dd5-8f22-b5caac93f8fb,0,0,0,2
442df03c-c727-4f81-8256-81d2f8ab3445,0,0,0,2
38af9ffc-cd6a-4ad6-99ca-716a9d947e60,0,2,0,0
f9bffecc-d4bb-4200-b5fb-d89a3e45db54,2,0,0,0
15929a76-5559-4314-8ac3-4dca4d067517,0,2,0,0
5d40d155-8dba-4309-9221-beaf00f7b524,0,0,2,0
66e40cf5-caf8-4ad9-83bd-e46b78132d1a,0,2,0,0
8c514cc2-de5a-4500-b240-4bb1f643b2d9,0,0,2,0
33486ddf-c232-40dd-b1ef-9b0c95c2f0ad,0,2,0,0
9fb38444-e91d-48fb-b187-046e579651d8,0,2,0,0
