ProteinGroup,F06,F01,F07,F08
85cc37b7-54ca-4be9-a41b-c5b8dfb00cc8,308,334,916,138
4b54fb8a-4ffc-4d1a-9049-3fdc8be3317c,298,594,636,166
2a71d2fd-7aca-4fa9-9949-2e2c1a979c30,364,456,632,238
efc4644f-721d-4d6c-9d59-2ceaf0ad5b41,312,312,942,120
3bd19c23-8fcd-40cf-85e1-3bdda15e8f68,280,700,538,166
7399e146-7953-4d0f-9321-9b8519ba0bac,316,274,972,120
6fc56540-35f4-4ce2-8769-b7a56c750874,292,316,912,150
e183c018-68a6-460e-a23e-d48da8e19975,296,514,672,186
db6717ef-ac36-4ad6-87e0-3091854f1690,302,298,906,146
a2165794-3a20-441a-acc1-c16c332009c7,338,386,712,212
a6c242b1-2cf9-41d7-aff6-27479ca93ba8,190,876,382,172
aa7ec1fa-e074-4543-ba16-b2541c3bac30,280,336,876,126
c41933af-ae8d-4e87-8974-204cbe49c87f,350,330,712,222
0a586819-2264-4ca5-b622-bc8d5f8d6020,314,396,722,178
23bd7bfe-9d85-42dd-9145-f30fa43db505,282,292,912,114
c51c9591-5d4e-447c-a92b-fa31328bd23a,338,164,794,302
a4894b86-05d3-402f-9470-d301124bebee,254,604,582,146
13314cea-44ff-4400-9208-e12d4f745096,288,290,884,120
fe680b19-5aeb-4586-87ca-b3ed73384546,282,330,834,126
45c34590-3c32-403a-80a4-7a4b04fefdc8,280,330,832,126
e599d93a-8cd9-46ee-a29d-d2b16e5f1b6c,310,374,750,132
3474a79a-b404-49e1-b797-0fc27ff4dfb7,288,242,882,126
cc80cac8-8812-4621-a2bd-989aa10d9d85,284,476,634,144
d98d0c00-3235-424c-b95d-babe9553b996,392,322,740,78
94b25ec7-a0f7-4ce1-8066-cf060baf330f,366,328,608,230
1b0f7fea-3514-46cf-8a10-804deae14726,330,284,720,196
e79e08bd-329c-4d7d-8bb4-4e2bd45c4a1f,224,622,550,120
ea25ba2e-65d0-48a3-bc76-c3c469cbf028,224,624,546,120
1d6a8a26-8a9d-4b00-90df-230944190595,338,434,552,188
44c8b820-3b99-415c-be52-b47bdde1f3fe,218,450,458,382
409a9485-4ebb-4fa7-88ee-0cf8d95d16ba,310,326,652,218
77a223f4-59c3-4df4-8080-0eb65872c73c,240,566,568,132
7a165b55-1553-4f90-a91d-7f0e63d9305a,258,274,836,136
57c3050e-00af-433e-9719-83906d98179a,350,360,584,210
4eabaa9e-bb5c-44bc-be2e-aaa9663dd790,318,486,534,162
81b6a439-444c-428b-8d73-dd801c4e09fd,310,492,524,172
4ba96810-49de-49e5-b1b9-34d0d5a2bb20,232,482,380,394
c3aa01d6-4f34-49e0-844d-1c191c34261c,246,588,520,132
38049f4f-eae0-4790-b846-1a9cface89d8,252,294,822,116
0f7fb448-162c-400c-b4e2-d0564fb838e0,274,236,848,124
20f41f65-68a0-4870-8c3c-8c07faa1862c,234,656,482,106
8aca0fd0-7101-47c9-beef-0720365d12b7,260,288,790,138
169fddc0-2c8a-4f0e-a7df-06798983596a,270,272,832,102
cfba8116-3736-4f31-a5c9-c2c339b42353,260,422,648,146
1ceefc17-6b8f-479e-ab9e-decd9ffaed4d,262,288,778,140
108766ac-f228-4ef2-9fa0-97a4cbf9c630,324,376,574,184
fdb864a9-4189-4379-9e14-6f4be8d112b4,366,302,688,100
d4b49399-92a2-4eca-8af1-7ce0fd569fbb,270,288,500,398
2de33f9b-dd90-4f2e-b411-3684fcc16727,270,342,616,206
6d1bb9b2-d0b7-4bf1-825a-7f8010acf5fb,292,332,676,130
69a0111b-1fb0-4853-9606-27fc56869f36,244,462,578,146
3f136c28-183b-4ee3-9c88-e9ccf2864694,250,284,756,134
49306fb4-9b82-4a91-95a8-5d061bf384aa,274,612,408,126
aaf4273e-8fe4-468d-9b37-9aba98b3ed02,250,480,548,134
2d316a4d-1b4d-4cb9-8e5c-efae9c00b8e3,292,302,718,96
2d92f4c3-f3d6-4dd9-aac4-0e77bf2c6f52,250,282,768,102
0f2bd4d1-18be-40ec-9f31-4047e3f8f6ea,144,626,370,256
394a9466-bfce-4cae-add9-86ffe8b7296e,320,336,634,104
f71a556c-c588-4802-81f7-a4a0fc143c6c,236,440,530,188
83e61b01-ef79-49e9-a65a-c837f8f37759,182,470,422,320
85a51581-a8c8-4339-961a-713fe4367695,260,398,578,154
b3d15392-55d7-4cab-83bb-92515fc019c2,274,386,570,160
7da7dd9f-41ac-4027-b849-c2a33367d913,244,252,748,134
a5b35fd1-1426-498d-8ff4-75b2c009bb6f,334,348,518,174
4b70f107-0cf9-4985-9407-3d1ab6d60b09,182,670,354,168
d21d8725-a0bd-421a-9e16-c3c255e2af59,296,376,588,110
17415623-b1e3-454e-a199-2b23b9be47d0,214,582,512,50
a596a9ad-f27e-42c0-bdbf-be884305db3f,66,724,156,404
15c948ad-145c-469b-86e6-70c1eb2eb9a0,128,692,254,260
9c71d111-2cf8-47ba-835e-e788bd2829e2,216,536,460,120
b4854fe9-0aab-4918-be9f-0bb7ed43fa8c,294,294,568,168
0d8e28fd-debb-4785-964a-8902e1a97db8,290,344,570,108
465c1835-c421-41a1-a2c9-c04adba3e507,236,242,730,100
f1efa777-bb0d-4860-8fc0-1e0b821c223d,300,210,662,128
118bba81-0fa4-4732-a484-a966321819d4,304,346,482,164
143786a9-9290-474b-8bcb-4abb38fa4d26,118,688,248,234
b4ea9516-2b4c-422a-923c-edf987f57db0,250,280,408,338
0671c3ba-bfd4-44b8-9864-2bb6b76039b1,226,250,696,98
759546c3-619d-45db-9101-d3683a1f97a2,196,502,484,84
3d4b78af-efe2-4a9c-83ab-66fb6d6e6429,258,316,530,156
9d94fce2-074d-4fdb-8a07-d56a412b7977,264,246,672,76
0c3d2ea4-7c4b-4c84-81bf-5e9b6ba59f08,214,250,680,98
07ed37d6-07cb-48c6-b256-ce08e5f7242d,226,206,716,94
d568fdb4-4e87-4cdb-af14-e62056340fc2,210,280,646,102
3a0539f1-6a58-4335-bb49-998d0bdb4b4f,202,250,460,326
38e5f818-ab91-4c8e-b06e-e3bb406d4ffd,142,530,308,250
4c14a1ab-0c74-46bb-a244-465f0f67a220,242,276,372,338
e5cfe237-cb3f-4f2a-800b-b846d78dc751,274,306,500,146
219c917c-f9f9-407c-876a-99dc6b72668c,326,246,594,46
03f1d288-1af1-4b04-b659-3db370cc6eba,258,342,518,92
127cc0f4-b49b-4ce7-9226-b43892d0c83f,222,332,460,192
a778ab57-452e-46b7-bc65-8e51f4642b33,254,248,616,76
e668ba90-6ed6-46d5-8f10-58785f51f2ea,276,278,458,182
3bfa9bbf-1713-4194-9a0a-cee65714a988,216,548,330,100
12944424-72c9-49a8-b66f-b69495e6a24b,178,500,362,138
bb08b07b-99a4-4482-ab74-7012013589d8,144,596,242,194
7d7a613a-d3d5-4a79-b057-649ec9a5942e,252,246,578,90
92c37bfb-2515-48d3-81b2-f3760c3cc9d0,234,284,462,186
652a886d-376f-4d4b-acae-e8213be14aab,152,532,414,66
af41922b-2ddd-496b-bfd5-532802faea03,272,348,478,60
38ec1237-2bf5-4477-b79c-8e3ddf61af23,214,260,534,150
f5bb2a6c-dd1c-4779-87f3-49cfd3d0d7ae,166,522,404,66
0ae8a659-ea58-49dd-89b7-fa4add827d59,246,334,446,130
da79afd8-9ae2-4363-811d-df78f96fcea8,230,366,476,82
be05cd07-681f-4d0c-8caa-6b01c9f80b12,230,300,486,134
27d09a6d-333f-4a27-8a2f-eefe748a2f0e,196,366,466,122
dda176b7-bee8-4a50-b2f8-55cfadc35a04,242,302,474,130
ca098ec1-6a37-418b-b38b-b05f474705a6,200,392,468,88
d9db5656-1340-4c54-80a9-457ede733148,292,214,482,156
b117566c-2830-4e78-8f5b-e477cdee10ac,256,212,550,126
82669bd3-cdc0-48a1-b9f2-b442533c75d5,302,226,536,72
0a87d8e5-d0b0-483f-86a0-860842df5965,242,318,474,90
f0133140-ae11-437e-aa4d-de6a1c5f1bf1,184,378,420,142
4c7f2e07-7775-4bfd-ba0e-ec5e22fb2b0e,102,552,204,266
