KEGG	Percent	Count
K11070	0.00042158	19
K11071	0.001220364	55
K00091	0.03281669	1479
K01267	0.001775075	80
K00874	0.000576899	26
K12573	0.077282308	3483
K07005	0.025960465	1170
K18908	0.001619756	73
K01738	0.040294192	1816
K04762	0.000532522	24
K12373	0.002440727	110
K21829	0.000865349	39
K15986	0.002307597	104
K11072	0.001198175	54
K09760	0.021544967	971
K02172	0.034858026	1571
K02171	0.008675677	391
K03313	0.028245874	1273
K01458	0.000776595	35
K01265	0.015775975	711
K11085	0.001220364	55
K21594	0.0398948	1798
K01890	0.058488706	2636
K01142	0.014023089	632
K03322	0.023586303	1063
K22390	0.004393309	198
K02314	0.032528241	1466
K00919	0.020923691	943
K17073	0.000776595	35
K01784	0.028023989	1263
K22405	0.00381641	172
K03617	0.013290871	599
K06019	0.000820972	37
K02760	0.001286929	58
K03699	0.001175987	53
K02879	0.001264741	57
K03274	0.001508813	68
K07029	0.001531002	69
K02565	0.001087233	49
K00060	0.001309117	59
K01915	0.00368328	166
K00639	0.001531002	69
K04748	0.001597567	72
K09798	0.001397871	63
K19354	0.001819451	82
K03215	0.002440727	110
K04062	0.013313059	600
K03657	0.049813029	2245
K08323	0.00184164	83
K05799	0.001619756	73
K23237	0.001309117	59
K00661	0.00071003	32
K02843	0.00113161	51
K07053	0.001708509	77
K03481	0.001175987	53
K02841	0.000909726	41
K19076	0.00226322	102
K03149	0.016042236	723
K01990	0.001353494	61
K09002	0.000976291	44
K03147	0.032661371	1472
K03574	0.00071003	32
K19134	0.00255167	115
K03150	0.020391169	919
K09002	0.001597567	72
K01956	0.001952582	88
K03442	0.000776595	35
K00574	0.002351974	106
K04564	0.01584254	714
K02760	0.000133131	6
K07678	0.046351634	2089
K09002	0.002640423	119
K19337	0.000732218	33
K15633	0.002152278	97
K03088	0.000865349	39
K03154	0.003927352	177
K00788	0.011338289	511
K02299	0.000332826	15
K02299	0.00113161	51
K02298	0.002951061	133
K02297	0.001464436	66
K02257	0.00113161	51
K21147	0.012669595	571
K10810	0.013357436	602
K07286	0.001153798	52
K05527	0.000532522	24
K01785	0.000554711	25
K04034	0.03423675	1543
K01006	0.0604191	2723
K13020	0.001886017	85
K03215	0.031906965	1438
K15545	0.002218843	100
K06180	0.018438587	831
K15545	0.003062004	138
K18855	0.002729177	123
K10117	0.002596047	117
K00885	0.001020668	46
K10118	0.001930394	87
K10119	0.001886017	85
K03079	0.000754407	34
K03290	0.001952582	88
K01788	0.001220364	55
K02919	0.000776595	35
K02952	0.006856225	309
K22230	0.000199696	9
K03650	0.001020668	46
K03040	0.025383566	1144
K01208	0.00297325	134
K02879	0.015642844	705
K02948	0.011160781	503
K02986	0.018482964	833
K03555	0.053607251	2416
K15780	0.00255167	115
K06382	0.002063524	93
K15780	0.000510334	23
K04762	0.000355015	16
K20265	0.001153798	52
K09123	0.001952582	88
K02846	0.001198175	54
K09128	0.000798784	36
K08219	0.001575379	71
K00973	0.001464436	66
K06973	0.001309117	59
K03701	2.22E-05	1
K07642	0.001797263	81
K01465	0.001042856	47
K03798	0.00423799	191
K13614	0.002130089	96
K12148	0.00042158	19
K13059	0.001886017	85
K21757	0.001886017	85
K12149	0.000244073	11
K05020	0.003062004	138
K01784	0.002285408	103
K09915	0.000177507	8
K20460	0.000865349	39
K20459	0.001641944	74
K03675	0.000931914	42
K08162	0.001531002	69
K07668	0.001153798	52
K01054	0.000110942	5
K01223	0.001863828	84
K08281	0.000576899	26
K00603	0.027979612	1261
K06894	0.06889508	3105
K07273	0.001109422	50
K02760	0.000576899	26
K03488	0.000732218	33
K01468	0.041270483	1860
K01534	0.003261699	147
K15633	0.049258318	2220
K21903	0.00028845	13
K01712	0.057756488	2603
K03215	0.00142006	64
K04758	0.000110942	5
K00784	0.001042856	47
K12340	0.043644645	1967
K01500	0.01910424	861
K24180	0.000554711	25
K01745	0.046307257	2087
K04759	0.002152278	97
K05896	0.000976291	44
K00845	0.001175987	53
K01652	0.002729177	123
K10117	0.002440727	110
K05366	0.005169905	233
K03585	0.027558032	1242
K03639	0.001153798	52
K03703	0.002928873	132
K19824	0.001109422	50
K06023	0.001220364	55
K03296	0.076217263	3435
K23240	0.000266261	12
K13009	0.040405134	1821
K10118	0.001198175	54
K01653	0.000887537	40
K00941	0.000687841	31
K02099	0.000998479	45
K07718	0.00255167	115
K21021	0.00410486	185
K00878	0.000887537	40
K01255	0.001730698	78
K07705	0.00071003	32
K10119	0.001020668	46
K20461	0.001153798	52
K16509	0.000576899	26
K22441	0.00071003	32
K02003	0.001153798	52
K06950	0.000576899	26
K02004K05685	0.003616714	163
K14213	0.002884496	130
K00705	0.000355015	16
K00230	0.000820972	37
K01990	0.001309117	59
K03498	0.00197477	89
K08234	0.000266261	12
K16139	0.001175987	53
K16140	0.000732218	33
K02890	0.011338289	511
K18899	0.000998479	45
K21085K21024	0.00368328	166
K02982	0.019082051	860
K02886	0.021766852	981
K11717	0.001531002	69
K07566	0.002440727	110
K01448	0.001264741	57
K02965	0.006612153	298
K02961	0.003505772	158
K04488	0.00042158	19
K02874	0.007100298	320
K03328	0.001930394	87
K06306	0.002374162	107
K02878	0.010495128	473
K21905	0.000954103	43
K01934	0.000665653	30
K02904	0.002130089	96
K21906	0.001042856	47
K01537	0.003772033	170
K02895	0.005724615	258
K02931	0.012114884	546
K02004	0.004304556	194
K11493	0.002130089	96
K08217	0.002041336	92
K09022	0.000510334	23
K07706	0.001930394	87
K07705	0.001486625	67
K24012	0.003417018	154
K02954	0.00707811	319
K07039	0.001109422	50
K15779	0.003661091	165
K02881	0.005258658	237
K02988	0.01047294	472
K06331	0.001996959	90
K02994	0.009962606	449
K02933	0.011360477	512
K03530	0.000554711	25
K00974	0.001886017	85
K03076	0.028689642	1293
K01265	0.018017007	812
K14163	0.002951061	133
K03481	0.001309117	59
K02598	0.001286929	58
K02907	0.002396351	108
K02302	0.002107901	95
K02876	0.010162302	458
K01232	0.002041336	92
K02757	0.002241032	101
K01808	0.000909726	41
K02518	0.002462916	111
K01493	0.001042856	47
K01783	0.000820972	37
K00761	0.000976291	44
K04095	0.000865349	39
K01808	4.44E-05	2
K00187	0.001020668	46
K02755	0.000443769	20
K00177	0.000554711	25
K01664	0.000621276	28
K00362	0.004215802	190
K19333	0.00197477	89
K14083	0.002107901	95
K00615	0.000332826	15
K03767	0.001109422	50
K06766	0.004748324	214
K00176	0.00042158	19
K00174	0.002041336	92
K07720	0.002019147	91
K14084	0.001198175	54
K14083	0.00184164	83
K22300	0.00142006	64
K03298	0.00142006	64
K03327	0.002174466	98
K01951	0.002329785	105
K07686	0.00084316	38
K01653	0.000355015	16
K01652	0.004348933	196
K19148	0.000465957	21
K08154	0.002351974	106
K00389	0.00028845	13
K21471	0.001486625	67
K19302	0.000221884	10
K05813	0.002351974	106
K05814	0.001641944	74
K14761	0.000177507	8
K00681	0.003017627	136
K05815	0.001109422	50
K05816	0.001087233	49
K01126	0.001508813	68
K16692	0.00255167	115
K01991	0.001198175	54
K07289	0.001930394	87
K01494	0.000554711	25
K07784	0.002462916	111
K00876	0.000643465	29
K07783	0.001775075	80
K21084	0.003749845	169
K20263	0.003039815	137
K07666	0.000954103	43
K07471	0.001242552	56
K13651	0.000244073	11
K06999	0.001353494	61
K02600	0.000155319	7
K06411	0.000266261	12
K06410	0.000532522	24
K08679	0.019215182	866
K03635	0.00084316	38
K10680	0.000976291	44
K03702	0.00297325	134
K03639	0.001442248	65
K03637	0.000643465	29
K03296	0.061351014	2765
K03704	0.00042158	19
K03585	0.021766852	981
K21310	0.000510334	23
K04079	0.002218843	100
K13747	0.033792981	1523
K11748	0.016219744	731
K03296	0.061217883	2759
K04759	0.001863828	84
K12340	0.031529761	1421
K03100	0.010073548	454
K07814	0.002951061	133
K19286	0.000510334	23
K02495	0.001442248	65
K18915	0.001065045	48
K02340	0.000865349	39
K01752	0.001198175	54
K02237	0.000510334	23
K02238	0.002107901	95
K18350	0.000199696	9
K03550	0.000687841	31
K03551	0.001819451	82
K07273	0.001109422	50
K06921	0.024318521	1096
K19337	0.001175987	53
K07313	0.000732218	33
K13009	0.029799064	1343
K08224	0.000887537	40
K03523	0.000732218	33
K18908	0.00184164	83
K03478	0.000576899	26
K18831	0.000576899	26
K05820	0.001619756	73
K00219	0.003283888	148
K11391	0.001531002	69
K19166	0.000310638	14
K03748	0.000665653	30
K05825	0.001264741	57
K07043	0.000576899	26
K07001	0.001575379	71
K10542	0.001264741	57
K22230	0.001619756	73
K10540	0.001264741	57
K21478	0.000532522	24
K01495	0.000976291	44
K01070	0.001153798	52
K01223	0.001464436	66
K01207	0.000443769	20
K09712	0.000199696	9
K11632	0.002640423	119
K05887	8.88E-05	4
K01839	8.88E-05	4
K15987	0.002751366	124
K11635	0.001264741	57
K21572	0.048503912	2186
K06894	0.072844621	3283
K03091	0.000443769	20
K19286	0.00071003	32
K07658	0.000776595	35
K05878	0.000954103	43
K03621	0.001819451	82
K21071	0.001286929	58
K05879	0.000377203	17
K03655	0.002196655	99
K24180	0.001397871	63
K19302	0.001242552	56
K07282	0.001797263	81
K02760	0.000532522	24
K05880	0.001575379	71
K00763	0.002085713	94
K01194	0.000399392	18
