KEGG	Percent	Count
K18908	1.97428E-05	2
K09955	1.97428E-05	2
K16899	1.97428E-05	2
K09807	0.000197428	20
K01844	0.000157942	16
K03496	9.8714E-06	1
K09698	6.90998E-05	7
K18011	0.000296142	30
K03695	0.001154954	117
K18888	1.97428E-05	2
K00266	1.97428E-05	2
K00919	6.90998E-05	7
K01866	6.90998E-05	7
K22293	9.8714E-06	1
K07335	5.92284E-05	6
K12373	0.002931806	297
K04517	1.97428E-05	2
K03553	0.000148071	15
K18682	0.000384985	39
K08640	9.8714E-06	1
K14534	9.8714E-05	10
K17998	8.88426E-05	9
K17999	8.88426E-05	9
K18887	4.9357E-05	5
K10742	0.000118457	12
K10742	0.000335628	34
K03529	0.000552798	56
K01939	0.00049357	50
K03502	9.8714E-06	1
K07063	5.92284E-05	6
K07473	1.97428E-05	2
K00891	3.94856E-05	4
K02238	1.97428E-05	2
K14698	9.8714E-05	10
K00134	0.000177685	18
K00088	4.9357E-05	5
K06298	1.97428E-05	2
K02777	7.89712E-05	8
K06941	1.97428E-05	2
K17320	3.94856E-05	4
K17318	0.000118457	12
K00554	3.94856E-05	4
K02619	9.8714E-06	1
K01665	1.97428E-05	2
K07799	1.97428E-05	2
K10548	0.000572541	58
K10546	0.002240808	227
K09816	2.96142E-05	3
K07533	0.000315885	32
K01424	1.97428E-05	2
K00817	0.000148071	15
K01585	1.97428E-05	2
K20525	1.97428E-05	2
K02341	0.000157942	16
K15460	0.000118457	12
K07056	0.0001382	14
K00997	0.000128328	13
K01689	0.000256656	26
K21575	0.000177685	18
K00262	0.000730484	74
K01007	5.92284E-05	6
K00626	0.000197428	20
K10421	5.92284E-05	6
K14059	7.89712E-05	8
K14059	4.9357E-05	5
K20487	1.97428E-05	2
K22550	4.9357E-05	5
K17995	0.000227042	23
K04751	4.9357E-05	5
K15870	5.92284E-05	6
K15872	8.88426E-05	9
K01892	1.97428E-05	2
K06158	4.9357E-05	5
K03324	8.88426E-05	9
K02316	0.000463956	47
K03086	0.000286271	29
K01955	5.92284E-05	6
K06864	0.000148071	15
K06898	0.000315885	32
K00880	9.8714E-06	1
K09121	0.000612027	62
K05364	0.00049357	50
K02027	0.000157942	16
K11657	7.89712E-05	8
K03100	4.9357E-05	5
K00099	9.8714E-06	1
K00981	3.94856E-05	4
K02824	0.000296142	30
K15342	8.88426E-05	9
K18908	1.97428E-05	2
K21463	1.97428E-05	2
K03437	4.9357E-05	5
K01006	0.000335628	34
K01118	1.97428E-05	2
K04485	0.000296142	30
K07137	0.000177685	18
K01759	5.92284E-05	6
K06200	9.8714E-05	10
K02123	9.8714E-06	1
K04486	2.96142E-05	3
K03281	3.94856E-05	4
K02120	1.97428E-05	2
K01870	0.000730484	74
K06204	8.88426E-05	9
K03101	9.8714E-06	1
K01880	0.000286271	29
K01006	0.002191451	222
K04020	0.000266528	27
K05785	7.89712E-05	8
K01937	0.000315885	32
K03217	1.97428E-05	2
K03151	3.94856E-05	4
K07181	0.000197428	20
K04762	1.97428E-05	2
K00059	9.8714E-05	10
K00645	2.96142E-05	3
K00248	0.000197428	20
K22431	0.00197428	200
K03522	0.001776852	180
K00847	6.90998E-05	7
K01972	7.89712E-05	8
K01876	1.97428E-05	2
K01139	5.92284E-05	6
K00942	3.94856E-05	4
K10117	0.000819326	83
K00761	0.000394856	40
K03790	1.97428E-05	2
K07133	1.97428E-05	2
K04488	0.001747238	177
K17363	0.000217171	22
K01133	9.8714E-05	10
K01951	1.97428E-05	2
K09825	0.000177685	18
K07487	0.000276399	28
K19824	0.000542927	55
K07483	6.90998E-05	7
K07497	0.000167814	17
K14163	1.97428E-05	2
K04087	3.94856E-05	4
K07497	5.92284E-05	6
K07813	1.97428E-05	2
K02796	0.005379913	545
K01875	0.002862706	290
K01740	0.000217171	22
K00975	0.000217171	22
K00975	0.000118457	12
K01652	0.000157942	16
K00765	2.96142E-05	3
K01154	7.89712E-05	8
K01867	0.00035537	36
K00948	0.000157942	16
K03978	3.94856E-05	4
K18640	9.8714E-06	1
K07397	9.8714E-06	1
K14059	6.90998E-05	7
K06200	6.90998E-05	7
K06919	6.90998E-05	7
K01939	1.97428E-05	2
K00046	0.001490581	151
K07124	2.96142E-05	3
K01867	1.97428E-05	2
K01151	1.97428E-05	2
K03320	1.97428E-05	2
K00925	0.0001382	14
K01057	6.90998E-05	7
K07223	1.97428E-05	2
K03742	7.89712E-05	8
K16066	2.96142E-05	3
K00817	0.000157942	16
K15270	0.000187557	19
K03553	0.000167814	17
K23535	9.8714E-06	1
K16329	0.000128328	13
K01756	1.97428E-05	2
K22390	9.8714E-06	1
K00791	2.96142E-05	3
K03572	8.88426E-05	9
K00335	0.000908169	92
K00806	2.96142E-05	3
K00812	1.97428E-05	2
K02470	9.8714E-06	1
K02469	6.90998E-05	7
K10440	1.97428E-05	2
K20453	9.8714E-06	1
K07576	1.97428E-05	2
K01361	1.97428E-05	2
K22604	5.92284E-05	6
K00868	0.00260605	264
K09807	0.000128328	13
K01939	2.96142E-05	3
K03545	1.97428E-05	2
K11717	1.97428E-05	2
K01880	0.000315885	32
K01006	0.000927912	94
K19286	4.9357E-05	5
K02355	3.94856E-05	4
K03593	0.000118457	12
K03832	0.000167814	17
K03696	1.97428E-05	2
K07473	0.000523184	53
K19158	0.000473827	48
K03497	8.88426E-05	9
K03496	0.000197428	20
K15255	0.000256656	26
K05884	5.92284E-05	6
K06926	2.96142E-05	3
K21636	0.000227042	23
K07040	0.000276399	28
K00826	3.94856E-05	4
K05807	9.8714E-06	1
K09765	9.8714E-06	1
K07568	0.000118457	12
K00773	9.8714E-05	10
K07755	3.94856E-05	4
K02011	7.89712E-05	8
K00705	3.94856E-05	4
K03303	7.89712E-05	8
K03778	0.001135211	115
K03606	7.89712E-05	8
K03701	7.89712E-05	8
K19223	7.89712E-05	8
K01421	5.92284E-05	6
K21745	1.97428E-05	2
K00244	3.94856E-05	4
K03702	6.90998E-05	7
K00003	5.92284E-05	6
K15635	2.96142E-05	3
K18908	0.000118457	12
K01567	0.000463956	47
K03307	0.000177685	18
K05820	1.97428E-05	2
K01838	2.96142E-05	3
K16089	3.94856E-05	4
K04759	0.0001382	14
K03824	2.96142E-05	3
K05349	1.97428E-05	2
K07718	3.94856E-05	4
K02564	0.000434342	44
K06951	3.94856E-05	4
K19286	9.8714E-06	1
K07486	0.000177685	18
K03604	3.94856E-05	4
K06726	1.97428E-05	2
K07491	0.000108585	11
K07228	3.94856E-05	4
K12574	0.000503441	51
K02470	1.97428E-05	2
K23121	0.000197428	20
K01847	0.000227042	23
K23253	1.97428E-05	2
K01615	0.000227042	23
K01810	0.000157942	16
K00057	3.94856E-05	4
K04567	0.000197428	20
K00962	0.000246785	25
K01803	0.000118457	12
K11752	5.92284E-05	6
K02122	1.97428E-05	2
K01361	0.001036497	105
K06142	0.000177685	18
K06142	4.9357E-05	5
K03299	0.000296142	30
K07277	0.000858812	87
K01026	0.001648524	167
K00806	0.000207299	21
K03609	0.000908169	92
K22432	0.000414599	42
K01734	0.001845952	187
K22431	0.00063177	64
K04041	0.001520196	154
K00248	0.000779841	79
K21022	0.000592284	60
K00705	0.000720612	73
K07050	0.000384985	39
K00762	9.8714E-05	10
