KO_MANTIS_CONSENSUS	QUANT
K10040	23
K15738	2
K02895	1319
K02411	93
K03742	2
K02410	16
K00230	2
K02892	2772
K02890	7094
K23351	77
K00239	1137
K02416	855
K02899	2983
K02897	774
K03744	94
K01565	3
K02413	2
K02412	4
K11381	130
K02409	4
K05919	202
K14414	4
K02884	5784
K01552	16
K02400	10
K02881	2647
K03738	65
K02406	35
K03737	58036
K03736	24
K02888	2833
K02404	36
K03735	118
K02887	1929
K00226	7
K02886	12537
K24217	12
K12685	2
K11358	664
K02433	53
K01585	2
K01586	151
K03763	515
K02431	706
K00253	30
K05946	72
K01580	68
K03768	1473
K00259	131
K03767	93
K01588	260
K02434	227
K05942	60
K10039	14
K10037	14
K00244	498
K05936	24
K01571	11044
K00240	19
K22010	6
K05939	23
K02429	2
K02428	90
K00249	152
K00248	6085
K01577	4
K13993	3019
K09013	462
K09014	135
K08164	344
K10005	5
K03706	2739
K03704	66
K03703	135
K21134	2
K01523	9
K03701	1052
K21138	95
K09002	8
K09487	12
K00661	2
K01991	227
K01990	1787
K21147	35
K01999	358
K01998	241
K00666	5
K01995	25
K03720	350
K02871	4726
K19285	10
K00690	4
K19286	165
K00219	188
K23779	2
K02879	4684
K02878	6424
K02876	6534
K03723	50
K00215	76
K03722	107
K02874	14358
K08174	178
K08177	20
K09022	658
K03719	18
K03718	24
K13985	46
K01531	6
K02860	639
K00682	4
K22452	2
K09017	22
K00689	1099
K09015	10
K02867	14615
K01537	158
K01534	21
K00688	2110
K02864	1670
K02863	22484
K01533	1
K17997	10
K17996	26
K17995	96
K17999	814
K02015	221
K02499	15
K02014	140
K07706	454
K02013	256
K02012	2
K07705	253
K02495	318
K01163	20
K03342	54
K03340	3903
K02493	1261
K07709	9
K02019	2
K02017	4
K02016	87
K15342	2
K19701	36
K18855	19
K03335	18
K02004	6
K01156	14
K02003	639
K05515	104
K05516	102
K01154	319
K03332	200
K01153	33
K02483	5
K01151	47
K03339	433
K03338	16
K05995	28
K02005	326
